N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,gly_c + malcoa_c,2 co2_c + coa_c,gly_c + malcoa_c -> 2 co2_c + coa_c,Glycine + Malonyl-CoA,CO2 + CoA,Glycine + Malonyl-CoA -> CO2 + CoA,lptEF
2,atp_c + trp__L_c,amp_c + h2o_c + ppi_c,atp_c + trp__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Tryptophan,AMP + H2O + Diphosphate,ATP + L-Tryptophan -> AMP + H2O + Diphosphate,lptA
3,atp_c + glu__L_c,amp_c + h2o_c + ppi_c,atp_c + glu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Glutamate,AMP + H2O + Diphosphate,ATP + L-Glutamate -> AMP + H2O + Diphosphate,lptA
4,atp_c + hasn_c,amp_c + h2o_c + ppi_c,atp_c + hasn_c -> amp_c + h2o_c + ppi_c,ATP + Generic amino acid,AMP + H2O + Diphosphate,ATP + Generic amino acid -> AMP + H2O + Diphosphate,lptA
5,atp_c + thr__L_c,amp_c + h2o_c + ppi_c,atp_c + thr__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Threonine,AMP + H2O + Diphosphate,ATP + L-Threonine -> AMP + H2O + Diphosphate,lptA
6,atp_c + gly_c,amp_c + h2o_c + ppi_c,atp_c + gly_c -> amp_c + h2o_c + ppi_c,ATP + Glycine,AMP + H2O + Diphosphate,ATP + Glycine -> AMP + H2O + Diphosphate,lptA
7,amet_c,ahcys_c,amet_c -> ahcys_c,S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine,S-Adenosyl-L-methionine -> S-Adenosyl-L-homocysteine,
8,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,lptB
9,asp__L_c + atp_c,amp_c + h2o_c + ppi_c,asp__L_c + atp_c -> amp_c + h2o_c + ppi_c,L-Aspartate + ATP,AMP + H2O + Diphosphate,L-Aspartate + ATP -> AMP + H2O + Diphosphate,lptB
10,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,lptC
11,asp__L_c + atp_c,amp_c + h2o_c + ppi_c,asp__L_c + atp_c -> amp_c + h2o_c + ppi_c,L-Aspartate + ATP,AMP + H2O + Diphosphate,L-Aspartate + ATP -> AMP + H2O + Diphosphate,lptC
12,atp_c + gly_c,amp_c + h2o_c + ppi_c,atp_c + gly_c -> amp_c + h2o_c + ppi_c,ATP + Glycine,AMP + H2O + Diphosphate,ATP + Glycine -> AMP + H2O + Diphosphate,lptC
13,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,lptC
14,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,lptD
15,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,lptD
16,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
