N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,fatty_acid_X_c,coa_c,fatty_acid_X_c -> coa_c,generic fatty acid for acylation in NRPS initiation,CoA,generic fatty acid for acylation in NRPS initiation -> CoA,PSEEN3045
2,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,PSEEN3045
3,atp_c + val__L_c,amp_c + h2o_c + ppi_c,atp_c + val__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Valine,AMP + H2O + Diphosphate,ATP + L-Valine -> AMP + H2O + Diphosphate,PSEEN3045
4,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,PSEEN3045
5,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,PSEEN3045
6,atp_c + val__L_c,amp_c + h2o_c + ppi_c,atp_c + val__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Valine,AMP + H2O + Diphosphate,ATP + L-Valine -> AMP + H2O + Diphosphate,PSEEN3045
7,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,PSEEN3045
8,X_c + atp_c,amp_c + h2o_c + ppi_c,X_c + atp_c -> amp_c + h2o_c + ppi_c,Generic amino acid + ATP,AMP + H2O + Diphosphate,Generic amino acid + ATP -> AMP + H2O + Diphosphate,PSEEN3045
9,atp_c + ser__L_c,amp_c + h2o_c + ppi_c,atp_c + ser__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Serine,AMP + H2O + Diphosphate,ATP + L-Serine -> AMP + H2O + Diphosphate,PSEEN3045
10,atp_c + val__L_c,amp_c + h2o_c + ppi_c,atp_c + val__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Valine,AMP + H2O + Diphosphate,ATP + L-Valine -> AMP + H2O + Diphosphate,PSEEN3044
11,atp_c + leu__L_c,amp_c + h2o_c + ppi_c,atp_c + leu__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Leucine,AMP + H2O + Diphosphate,ATP + L-Leucine -> AMP + H2O + Diphosphate,PSEEN3044
12,atp_c + ser__L_c,amp_c + h2o_c + ppi_c,atp_c + ser__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Serine,AMP + H2O + Diphosphate,ATP + L-Serine -> AMP + H2O + Diphosphate,PSEEN3044
13,atp_c + ile__L_c,amp_c + h2o_c + ppi_c,atp_c + ile__L_c -> amp_c + h2o_c + ppi_c,ATP + L-Isoleucine,AMP + H2O + Diphosphate,ATP + L-Isoleucine -> AMP + H2O + Diphosphate,PSEEN3044
14,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
