N,Substrate IDs,Product IDs,Full reaction (IDs),Substrate names,Product names,Full reaction (names),gene
1,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,
2,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,lsd11
3,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd11
4,,h2o_c, -> h2o_c,,H2O, -> H2O,
5,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
6,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,lsd11
7,,h2o_c, -> h2o_c,,H2O, -> H2O,
8,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
9,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
10,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd12
11,,h2o_c, -> h2o_c,,H2O, -> H2O,
12,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
13,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd12
14,,h2o_c, -> h2o_c,,H2O, -> H2O,
15,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
16,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
17,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd12
18,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
19,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd13
20,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd14
21,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
22,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,lsd15
23,,h2o_c, -> h2o_c,,H2O, -> H2O,
24,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
25,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
26,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,lsd15
27,mmcoa__R_c,co2_c + coa_c,mmcoa__R_c -> co2_c + coa_c,Methylmalonyl-CoA,CO2 + CoA,Methylmalonyl-CoA -> CO2 + CoA,lsd16
28,,h2o_c, -> h2o_c,,H2O, -> H2O,
29,h_c + nadph_c,nadp_c,h_c + nadph_c -> nadp_c,H+ + NADPH,NADP+,H+ + NADPH -> NADP+,
30,malcoa_c,co2_c + coa_c,malcoa_c -> co2_c + coa_c,Malonyl-CoA,CO2 + CoA,Malonyl-CoA -> CO2 + CoA,lsd17
31,h2o_c,,h2o_c -> ,H2O,,H2O -> ,
