,Peptide Length,Methionine,Glycine
0,90.0,0.076739716789125,0.32193247043242784
1,89.0,0.07760196079799132,0.3255496892013298
2,88.0,0.07848380126160497,0.3292491174877072
3,87.0,0.079385913919785,0.3330335901025094
4,86.0,0.08030900594210667,0.3369060737083533
5,85.0,0.08125381777672061,0.34086967457551026
6,84.0,0.08222112513120511,0.34492764689188504
7,83.0,0.08321174109664116,0.3490834016737165
8,82.0,0.08422651842708809,0.35334051632827285
9,81.0,0.08526635198791684,0.3577027449249182
10,80.0,0.08633218138776537,0.3621740292364788
11,79.0,0.08742499381039547,0.3667585106192191
12,78.0,0.08854582706437471,0.37146054280664564
13,77.0,0.08969577287040564,0.37628470570023675
14,76.0,0.09087598040817413,0.3812358202489271
15,75.0,0.09208766014694933,0.3863189645189098
16,74.0,0.09333208798677352,0.3915394910664641
17,73.0,0.09461060974001695,0.3969030457386072
18,72.0,0.09592464598640627,0.40241558804053523
19,71.0,0.09727569733832725,0.40808341322420244
20,70.0,0.09866535015744621,0.4139131762702615
21,69.0,0.10009528276842439,0.4199119179553387
22,68.0,0.10156727222090056,0.42608709321938515
23,67.0,0.10308320165703336,0.4324466020734066
24,66.0,0.10464506834880628,0.43899882331694157
25,65.0,0.1062549924772497,0.44575265136797226
26,64.0,0.1079152267347068,0.4527175365456007
27,63.0,0.1096281668416068,0.4599035291891827
28,62.0,0.11139636308098755,0.46732132804706905
29,61.0,0.11322253296756137,0.4749823334248941
30,60.0,0.11510957518368721,0.4828987056486352
31,59.0,0.11706058493256306,0.49108342947319494
32,58.0,0.11907887087967643,0.4995503851537681
33,57.0,0.12116797387756592,0.5083144269985673
34,56.0,0.12333168769680715,0.5173914703378274
35,55.0,0.1255740820185681,0.526798587980332
36,54.0,0.12789952798187443,0.5365541173873791
37,53.0,0.13031272662304164,0.5466777799795933
38,52.0,0.13281874059656226,0.5571908142099686
39,51.0,0.13542302962786767,0.5681161242925167
40,50.0,0.1381314902204243,0.5794784467783728
41,49.0,0.14095050022492286,0.5913045375289488
42,48.0,0.14388696897960848,0.6036233820607968
43,47.0,0.14694839385151615,0.616466432742945
44,46.0,0.15014292415263686,0.6298678769330062
45,45.0,0.1534794335782492,0.6438649408648502
46,44.0,0.15696760252321015,0.6584982349754159
47,43.0,0.1606180118842156,0.6738121474167094
48,42.0,0.16444225026241138,0.6898552937837743
49,41.0,0.16845303685417592,0.7066810326565457
50,40.0,0.17266436277553143,0.7243480584729671
51,39.0,0.1770916541287494,0.7429210856132911
52,38.0,0.18175196081634823,0.7624716404978505
53,37.0,0.18666417597354606,0.7830789821329323
54,36.0,0.1918492919728113,0.8048311760810672
55,35.0,0.19733070031489178,0.8278263525405238
56,34.0,0.20313454444180098,0.8521741864387752
57,33.0,0.20929013669761398,0.8779976466338861
58,32.0,0.2158304534694129,0.9054350730911968
59,31.0,0.22279272616197593,0.9346426560941444
60,30.0,0.23021915036737498,0.9657974112972718
61,29.0,0.238157741759351,0.9991007703075359
62,28.0,0.2466633753936159,1.034782940675655
63,27.0,0.2557990559637497,1.0731082347747551
64,26.0,0.2656374811931246,1.1143816284199397
65,25.0,0.276262980440848,1.1589568935567283
66,24.0,0.28777393795921624,1.207246764121596
67,23.0,0.3002858483052701,1.2597357538660072
68,22.0,0.31393520504641925,1.316996469950831
69,21.0,0.32888450052482177,1.3797105875675406
70,20.0,0.3453287255510621,1.4486961169459152
71,19.0,0.3635039216326981,1.5249432809956993
72,18.0,0.3836985839456236,1.6096623521621314
73,17.0,0.4062690888836006,1.704348372877539
74,16.0,0.431660906938827,1.8108701461823957
75,15.0,0.46043830073474884,1.9315948225945472
76,14.0,0.4933267507872298,2.0695658813513087
77,13.0,0.5312749623862498,2.228763256839891
78,12.0,0.5755478759184375,2.4144935282431907
79,11.0,0.6278704100928427,2.633992939901677
80,10.0,0.6906574511021196,2.8973922338918356
81,9.0,0.7673971678912492,3.2193247043242614
82,8.0,0.8633218138776552,3.6217402923647835
83,7.0,0.9866535015744683,4.139131762702619
84,6.0,1.1510957518368714,4.828987056486397
85,5.0,1.3813149022042444,5.794784467783674
86,4.0,1.726643627755307,7.24348058472953
87,3.0,2.3021915036737424,9.65797411297279
88,2.0,3.4532872555106464,14.486961169459178
89,1.0,6.906574511021241,28.97392233891813
